,net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,Year
6302,Endinet,871688700000002681,Echternachlaan,5625KD,5625KD,EINDHOVEN,13.0,100.0,100.0,92,1x35,4037,7.69,0.0,
6303,Endinet,871688700000002681,Echternachlaan,5625KE,5625KE,EINDHOVEN,24.0,100.0,100.0,79,1x35,1765,8.33,0.0,
6304,Endinet,871688700000002681,Echternachlaan,5625KG,5625KG,EINDHOVEN,24.0,100.0,100.0,88,1x35,1393,4.17,4.17,
6305,Endinet,871688700000002681,Echternachlaan,5625KH,5625KH,EINDHOVEN,21.0,100.0,95.24,76,1x35,7488,33.33,19.05,
6306,Endinet,871688700000002681,Echternachlaan,5625KJ,5625KJ,EINDHOVEN,38.0,100.0,100.0,89,1x35,1847,5.26,5.26,
6307,Endinet,871688700000002681,Echternachlaan,5625KK,5625KK,EINDHOVEN,19.0,100.0,100.0,84,1x35,1473,0.0,0.0,
6308,Endinet,871688700000002681,Echternachlaan,5625KL,5625KL,EINDHOVEN,19.0,100.0,100.0,84,1x35,1702,5.26,5.26,
6309,Endinet,871688700000002681,Echternachlaan,5625KM,5625KM,EINDHOVEN,27.0,100.0,100.0,96,1x35,1588,0.0,0.0,
6310,Endinet,871688700000002681,Clervauxlaan,5625LA,5625LA,EINDHOVEN,16.0,81.25,100.0,50,3x25,2393,50.0,50.0,
6311,Endinet,871688700000002681,Clervauxlaan,5625LB,5625LB,EINDHOVEN,16.0,100.0,100.0,56,1x35,2926,37.5,31.25,
6312,Endinet,871688700000002681,Clervauxlaan,5625LC,5625LC,EINDHOVEN,16.0,93.75,100.0,50,1x35,3351,56.25,56.25,
6313,Endinet,871688700000002681,Reisdorfweg,5625LD,5625LK,EINDHOVEN,64.0,96.88,100.0,50,3x25,2996,43.75,32.81,
6314,Endinet,871688700000002681,Remichweg,5625LL,5625LL,EINDHOVEN,16.0,100.0,100.0,81,1x35,3681,43.75,25.0,
6315,Endinet,871688700000002681,Remichweg,5625LM,5625LM,EINDHOVEN,13.0,100.0,100.0,77,1x35,3167,23.08,15.38,
6316,Endinet,871688700000002681,Viandenhof,5625LN,5625LN,EINDHOVEN,18.0,100.0,100.0,89,1x35,5203,11.11,5.56,
6317,Endinet,871688700000002681,Viandenhof,5625LP,5625LP,EINDHOVEN,16.0,100.0,100.0,100,1x35,3748,12.5,12.5,
6318,Endinet,871688700000002681,Viandenhof,5625LR,5625LR,EINDHOVEN,13.0,100.0,100.0,77,1x35,3731,23.08,7.69,
6319,Endinet,871688700000002681,Grevenmacherhof,5625LS,5625LS,EINDHOVEN,14.0,100.0,92.86,64,3x25,2485,64.29,50.0,
6320,Endinet,871688700000002681,Grevenmacherhof,5625LT,5625LT,EINDHOVEN,15.0,100.0,100.0,40,3x25,3347,46.67,40.0,
6321,Endinet,871688700000002681,Grevenmacherhof,5625LV,5625LV,EINDHOVEN,17.0,88.24,94.12,35,1x25,2970,58.82,52.94,
